dicots 	 Acaena_ovalifolia 	 released
dicots 	 Acer_campestre 	 released
dicots 	 Agrostemma_githago 	 released
dicots 	 Ailanthus_altissima 	 released
dicots 	 Ajuga_chamaepitys 	 released
dicots 	 Alnus_glutinosa 	 released
dicots 	 Arabis_hirsuta 	 released
dicots 	 Arctium_minus 	 released
dicots 	 Astragalus_alpinus 	 released
dicots 	 Astragalus_glycyphyllos 	 released
dicots 	 Ballota_nigra 	 released
dicots 	 Barbarea_vulgaris 	 released
dicots 	 Berberis_vulgaris 	 released
dicots 	 Buxus_sempervirens 	 released
dicots 	 Calendula_officinalis 	 released
dicots 	 Calluna_vulgaris 	 released
dicots 	 Cardamine_flexuosa 	 released
dicots 	 Chamaenerion_angustifolium 	 released
dicots 	 Chenopodium_album 	 released
dicots 	 Comarum_palustre 	 released
dicots 	 Convolvulus_arvensis 	 released
dicots 	 Cornus_suecica 	 released
dicots 	 Crataegus_laevigata 	 released
dicots 	 Cruciata_laevipes 	 released
dicots 	 Draba_incana 	 released
dicots 	 Dryas_octopetala 	 released
dicots 	 Erodium_maritimum 	 released
dicots 	 Euonymus_europaeus 	 released
dicots 	 Euphorbia_lathyris 	 released
dicots 	 Euphrasia_confusa 	 released
dicots 	 Fallopia_convolvulus 	 released
dicots 	 Filago_lutescens 	 released
dicots 	 Fragaria_moschata 	 released
dicots 	 Frangula_alnus 	 released
dicots 	 Galeopsis_tetrahit 	 released
dicots 	 Galium_aparine 	 released
dicots 	 Geranium_rotundifolium 	 released
dicots 	 Geum_urbanum 	 released
dicots 	 Gnaphalium_uliginosum 	 released
dicots 	 Hedera_helix 	 released
dicots 	 Hibiscus_tridactylites 	 released
dicots 	 Humulus_lupulus 	 released
dicots 	 Hydrocotyle_vulgaris 	 released
dicots 	 Hypericum_androsaemum 	 released
dicots 	 Hypericum_hirsutum 	 released
dicots 	 Hypericum_pulchrum 	 released
dicots 	 Ilex_aquifolium 	 released
dicots 	 Impatiens_glandulifera 	 released
dicots 	 Jasione_montana 	 released
dicots 	 Lamium_amplexicaule 	 released
dicots 	 Lathyrus_aphaca 	 released
dicots 	 Lepidium_didymum 	 released
dicots 	 Ligustrum_vulgare 	 released
