insects 	 Ablattaria_laevigata 	 genomic_data 	 icAblLaev1 	 hic-arima2
insects 	 Abraeus_perpusillus 	 genomic_data 	 icAbrPerp2 	 hic-arima2
insects 	 Abrostola_tripartita 	 genomic_data 	 ilAbrTrip1 	 10x
insects 	 Abrostola_tripartita 	 genomic_data 	 ilAbrTrip1 	 hic-arima2
insects 	 Abrostola_tripartita 	 genomic_data 	 ilAbrTrip1 	 pacbio
insects 	 Acanthosoma_haemorrhoidale 	 genomic_data 	 ihAcaHaem1 	 10x
insects 	 Acanthosoma_haemorrhoidale 	 genomic_data 	 ihAcaHaem1 	 hic-arima2
insects 	 Acanthosoma_haemorrhoidale 	 genomic_data 	 ihAcaHaem1 	 pacbio
insects 	 Acleris_cristana 	 genomic_data 	 ilAclCris1 	 hic-arima2
insects 	 Acleris_cristana 	 genomic_data 	 ilAclCris1 	 pacbio
insects 	 Acleris_emargana 	 genomic_data 	 ilAclEmar1 	 10x
insects 	 Acleris_emargana 	 genomic_data 	 ilAclEmar1 	 pacbio
insects 	 Acleris_emargana 	 genomic_data 	 ilAclEmar2 	 hic-arima2
insects 	 Acleris_ferrugana 	 genomic_data 	 ilAclFerr1 	 hic-arima2
insects 	 Acleris_rhombana 	 genomic_data 	 ilAclRhom1 	 10x
insects 	 Acleris_rhombana 	 genomic_data 	 ilAclRhom1 	 pacbio
insects 	 Acleris_sparsana 	 genomic_data 	 ilAclSpar1 	 10x
insects 	 Acleris_sparsana 	 genomic_data 	 ilAclSpar1 	 hic-arima2
insects 	 Acleris_sparsana 	 genomic_data 	 ilAclSpar1 	 pacbio
insects 	 Acrobasis_consociella 	 genomic_data 	 ilAcrCons1 	 10x
insects 	 Acrobasis_consociella 	 genomic_data 	 ilAcrCons1 	 pacbio
insects 	 Acrobasis_repandana 	 genomic_data 	 ilAcrRepa1 	 pacbio
insects 	 Acrocera_orbiculus 	 genomic_data 	 idAcrOrbc1 	 pacbio
insects 	 Acronicta_aceris 	 genomic_data 	 ilAcrAcer1 	 10x
insects 	 Acronicta_aceris 	 genomic_data 	 ilAcrAcer1 	 hic-arima2
insects 	 Acronicta_aceris 	 genomic_data 	 ilAcrAcer1 	 pacbio
insects 	 Acronicta_rumicis 	 genomic_data 	 ilAcrRumi1 	 10x
insects 	 Acronicta_rumicis 	 genomic_data 	 ilAcrRumi1 	 hic-arima2
insects 	 Acronicta_rumicis 	 genomic_data 	 ilAcrRumi1 	 pacbio
insects 	 Actia_lamia 	 genomic_data 	 idActLami1 	 10x
insects 	 Actia_lamia 	 genomic_data 	 idActLami1 	 pacbio
insects 	 Acupalpus_exiguus 	 genomic_data 	 icAcuExig2 	 hic-arima2
insects 	 Adalia_bipunctata 	 genomic_data 	 icAdaBipu1 	 10x
insects 	 Adalia_bipunctata 	 genomic_data 	 icAdaBipu1 	 hic-arima2
insects 	 Adalia_bipunctata 	 genomic_data 	 icAdaBipu1 	 pacbio
insects 	 Adalia_decempunctata 	 genomic_data 	 icAdaDece1 	 10x
insects 	 Adalia_decempunctata 	 genomic_data 	 icAdaDece1 	 hic-arima2
insects 	 Adalia_decempunctata 	 genomic_data 	 icAdaDece1 	 pacbio
insects 	 Adicella_reducta 	 genomic_data 	 iiAdiRedu2 	 hic-arima2
insects 	 Aelia_acuminata 	 genomic_data 	 ihAelAcum1 	 10x
insects 	 Aelia_acuminata 	 genomic_data 	 ihAelAcum1 	 hic-arima2
insects 	 Aelia_acuminata 	 genomic_data 	 ihAelAcum1 	 pacbio
insects 	 Aelia_acuminata 	 genomic_data 	 ihAelAcum5 	 hic-arima2
insects 	 Aeshna_mixta 	 genomic_data 	 ioAesMixt1 	 10x
insects 	 Aeshna_mixta 	 genomic_data 	 ioAesMixt1 	 hic-arima2
insects 	 Aeshna_mixta 	 genomic_data 	 ioAesMixt1 	 pacbio
insects 	 Agabus_bipustulatus 	 genomic_data 	 icAgaBipu1 	 hic-arima2
insects 	 Agapeta_hamana 	 genomic_data 	 ilAgaHama1 	 10x
insects 	 Agapetus_fuscipes 	 genomic_data 	 iiAgaFusc4 	 hic-arima2
insects 	 Agonopterix_alstromeriana 	 genomic_data 	 ilAgoAlst1 	 10x
insects 	 Agonopterix_arenella 	 genomic_data 	 ilAgoAren1 	 10x
insects 	 Agonopterix_arenella 	 genomic_data 	 ilAgoAren1 	 hic-arima2
insects 	 Agonopterix_arenella 	 genomic_data 	 ilAgoAren1 	 pacbio
insects 	 Agonopterix_heracliana 	 genomic_data 	 ilAgoHera1 	 pacbio
insects 	 Agonopterix_ocellana 	 genomic_data 	 ilAgoOcel1 	 10x
insects 	 Agonopterix_ocellana 	 genomic_data 	 ilAgoOcel1 	 hic-arima2
insects 	 Agonopterix_ocellana 	 genomic_data 	 ilAgoOcel1 	 pacbio
insects 	 Agonopterix_subpropinquella 	 genomic_data 	 ilAgoSubp1 	 10x
insects 	 Agonopterix_subpropinquella 	 genomic_data 	 ilAgoSubp1 	 hic-arima2
insects 	 Agonopterix_subpropinquella 	 genomic_data 	 ilAgoSubp1 	 pacbio
insects 	 Agrilus_sulcicollis 	 genomic_data 	 icAgrSulc1 	 hic-arima2
insects 	 Agriopis_aurantiaria 	 genomic_data 	 ilAgrAura1 	 10x
insects 	 Agriopis_aurantiaria 	 genomic_data 	 ilAgrAura1 	 hic-arima2
insects 	 Agriopis_aurantiaria 	 genomic_data 	 ilAgrAura1 	 pacbio
insects 	 Agriopis_marginaria 	 genomic_data 	 ilAgrMarg1 	 hic-arima2
insects 	 Agriotes_acuminatus 	 genomic_data 	 icAgrAcum2 	 hic-arima2
insects 	 Agriotes_lineatus 	 genomic_data 	 icAgrLine1 	 hic-arima2
insects 	 Agriotes_lineatus 	 genomic_data 	 icAgrLine1 	 pacbio
insects 	 Agriphila_geniculea 	 genomic_data 	 ilAgrGeni1 	 10x
insects 	 Agriphila_geniculea 	 genomic_data 	 ilAgrGeni1 	 hic-arima2
insects 	 Agriphila_geniculea 	 genomic_data 	 ilAgrGeni1 	 pacbio
insects 	 Agriphila_straminella 	 genomic_data 	 ilAgrStra1 	 10x
insects 	 Agriphila_straminella 	 genomic_data 	 ilAgrStra1 	 pacbio
insects 	 Agriphila_tristella 	 genomic_data 	 ilAgrTris1 	 10x
insects 	 Agriphila_tristella 	 genomic_data 	 ilAgrTris1 	 hic-arima2
insects 	 Agriphila_tristella 	 genomic_data 	 ilAgrTris1 	 pacbio
insects 	 Agrochola_circellaris 	 genomic_data 	 ilAgrCirc1 	 10x
insects 	 Agrochola_circellaris 	 genomic_data 	 ilAgrCirc1 	 hic-arima2
insects 	 Agrochola_circellaris 	 genomic_data 	 ilAgrCirc1 	 pacbio
insects 	 Agrochola_macilenta 	 genomic_data 	 ilAgrMaci1 	 10x
insects 	 Agrochola_macilenta 	 genomic_data 	 ilAgrMaci1 	 hic-arima2
insects 	 Agrochola_macilenta 	 genomic_data 	 ilAgrMaci1 	 pacbio
insects 	 Agrotis_puta 	 genomic_data 	 ilAgrPuta1 	 10x
insects 	 Agrotis_puta 	 genomic_data 	 ilAgrPuta1 	 hic-arima2
insects 	 Agrotis_puta 	 genomic_data 	 ilAgrPuta1 	 pacbio
insects 	 Agrypnus_murinus 	 genomic_data 	 icAgrMuri1 	 10x
insects 	 Agrypnus_murinus 	 genomic_data 	 icAgrMuri1 	 hic-arima2
insects 	 Agrypnus_murinus 	 genomic_data 	 icAgrMuri1 	 pacbio
insects 	 Allophyes_oxyacanthae 	 genomic_data 	 ilAllOxya1 	 hic-arima2
insects 	 Allophyes_oxyacanthae 	 genomic_data 	 ilAllOxya1 	 pacbio
insects 	 Allophyes_oxyacanthae 	 genomic_data 	 ilAllOxya2 	 hic-arima2
insects 	 Alysia_manducator 	 genomic_data 	 iyAlyMand1 	 hic-arima2
insects 	 Amblyteles_armatorius 	 genomic_data 	 iyAmbArma1 	 10x
insects 	 Amblyteles_armatorius 	 genomic_data 	 iyAmbArma1 	 pacbio
insects 	 Amblyteles_armatorius 	 genomic_data 	 iyAmbArma2 	 pacbio
insects 	 Amblyteles_armatorius 	 genomic_data 	 iyAmbArma4 	 hic-arima2
insects 	 Amphinemura_sulcicollis 	 genomic_data 	 ipAmpSulc2 	 hic-arima2
insects 	 Amphipyra_berbera 	 genomic_data 	 ilAmpBerb1 	 10x
