insects 	 Abrostola_tripartita 	 released
insects 	 Acronicta_aceris 	 released
insects 	 Adalia_bipunctata 	 released
insects 	 Aelia_acuminata 	 released
insects 	 Agriopis_aurantiaria 	 released
insects 	 Agrochola_circellaris 	 released
insects 	 Agrochola_macilenta 	 released
insects 	 Amphipyra_berbera 	 released
insects 	 Amphipyra_tragopoginis 	 released
insects 	 Ancistrocerus_nigricornis 	 released
insects 	 Andrena_haemorrhoa 	 released
insects 	 Anoplius_nigerrimus 	 released
insects 	 Anthocharis_cardamines 	 released
insects 	 Apamea_monoglypha 	 released
insects 	 Aphantopus_hyperantus 	 released
insects 	 Apoderus_coryli 	 released
insects 	 Aporia_crataegi 	 released
insects 	 Apotomis_turbidana 	 released
insects 	 Aricia_agestis 	 released
insects 	 Atethmia_centrago 	 released
insects 	 Autographa_gamma 	 released
insects 	 Autographa_pulchrina 	 released
insects 	 Bellardia_pandia 	 released
insects 	 Bembecia_ichneumoniformis 	 released
insects 	 Bibio_marci 	 released
insects 	 Biston_betularia 	 released
insects 	 Blastobasis_adustella 	 released
insects 	 Blastobasis_lacticolella 	 released
insects 	 Boloria_selene 	 released
insects 	 Bombus_campestris 	 released
insects 	 Bombus_hortorum 	 released
insects 	 Bombus_hypnorum 	 released
insects 	 Bombus_pascuorum 	 released
insects 	 Bombus_sylvestris 	 released
insects 	 Brachyptera_putata 	 released
insects 	 Campaea_margaritaria 	 released
insects 	 Cantharis_rustica 	 released
insects 	 Carcina_quercana 	 released
insects 	 Celastrina_argiolus 	 released
insects 	 Cerceris_rybyensis 	 released
insects 	 Cheilosia_vulpina 	 released
insects 	 Chrysoperla_carnea 	 released
insects 	 Chrysoteuchia_culmella 	 released
insects 	 Chrysotoxum_bicinctum 	 released
insects 	 Clostera_curtula 	 released
insects 	 Clusia_tigrina 	 released
insects 	 Coccinella_septempunctata 	 released
insects 	 Colias_croceus 	 released
insects 	 Coremacera_marginata 	 released
insects 	 Cosmia_trapezina 	 released
insects 	 Craniophora_ligustri 	 released
insects 	 Criorhina_berberina 	 released
insects 	 Crocallis_elinguaria 	 released
insects 	 Cyaniris_semiargus 	 released
insects 	 Cydia_splendana 	 released
insects 	 Deilephila_porcellus 	 released
insects 	 Dolichovespula_media 	 released
insects 	 Dolichovespula_saxonica 	 released
insects 	 Dolichovespula_sylvestris 	 released
insects 	 Dryobotodes_eremita 	 released
insects 	 Ectemnius_continuus 	 released
insects 	 Ectemnius_lituratus 	 released
insects 	 Eilema_depressum 	 released
insects 	 Eilema_sororcula 	 released
insects 	 Emmelina_monodactyla 	 released
insects 	 Endotricha_flammealis 	 released
insects 	 Ennomos_fuscantarius 	 released
insects 	 Ennomos_quercinarius 	 released
insects 	 Erannis_defoliaria 	 released
insects 	 Erebia_ligea 	 released
insects 	 Eristalis_arbustorum 	 released
insects 	 Eristalis_pertinax 	 released
insects 	 Eristalis_tenax 	 released
insects 	 Erynnis_tages 	 released
insects 	 Eulithis_prunata 	 released
insects 	 Eupeodes_latifasciatus 	 released
insects 	 Euproctis_similis 	 released
insects 	 Eupsilia_transversa 	 released
insects 	 Fabriciana_adippe 	 released
insects 	 Furcula_furcula 	 released
insects 	 Glaucopsyche_alexis 	 released
