species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent	collection_location	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS pg (2C) replicate	GS pg (2C)	GS pg (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	STDV(GS)	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample	V30	V31	V32	V33	V34
Acaena ovalifolia	drAcaOval1.hap1.1	Chromosome	687115516	687061316	drAcaOval1	2	31	75.5354	100	0	24.4646	349458882	349945645	120937574	121106028	228521309	228839617	82.7901	90.186	0.146151	0.146151	RBGE	DMR352	DTOL	Angiosperm	Rosaceae	Acaena	ovalifolia	<Petro	Galbraith	130.85	332.03	4.13	2.16	2.537	136.56	344.27	1.77	1.78	0.89	0.87	3.33	1.94	0.023	0.016	Sahr Mian	2020-06-29	""	""	""	""	""	""	""	""
Acaena ovalifolia	drAcaOval1.hap2.1	Chromosome	687192732	687133732	drAcaOval1	2	31	75.5354	100	0	24.4646	349458882	349945645	120937574	121106028	228521309	228839617	82.7901	90.186	0.146151	0.146151	RBGE	DMR352	DTOL	Angiosperm	Rosaceae	Acaena	ovalifolia	<Petro	Galbraith	130.85	332.03	4.13	2.16	2.537	136.56	344.27	1.77	1.78	0.89	0.87	3.33	1.94	0.023	0.016	Sahr Mian	2020-06-29	""	""	""	""	""	""	""	""
Acer campestre	drAceCamp1.1 alternate haplotype	Scaffold	734708497	734696055	drAceCamp1	2	31	98.3375	98.3915	1.60848	1.66251	642256783	648680275	334800881	338149371	307455902	310530903	73.5378	97.0032	0.249134	0.249134	RBGK	MC9097	DTOL	Angiosperm	Sapindaceae	Acer	campestre	<Petro	GPB3%PVPBmet	154.87	437.70	3.52	2.94	2.826	159.01	442.68	1.59	1.62	0.81	0.79	2.94	2.7	0.037	0.022	Sahr Mian	2020-09-09	KDTOL10103	1.3, 2.70 (2010)* 1.41 (2013)	""	""	""	""	""	""
Acer campestre	drAceCamp1.1	Chromosome	565085850	564866015	drAceCamp1	2	31	98.3375	98.3915	1.60848	1.66251	642256783	648680275	334800881	338149371	307455902	310530903	73.5378	97.0032	0.249134	0.249134	RBGK	MC9097	DTOL	Angiosperm	Sapindaceae	Acer	campestre	<Petro	GPB3%PVPBmet	154.87	437.70	3.52	2.94	2.826	159.01	442.68	1.59	1.62	0.81	0.79	2.94	2.7	0.037	0.022	Sahr Mian	2020-09-09	KDTOL10103	1.3, 2.70 (2010)* 1.41 (2013)	""	""	""	""	""	""
Adonis annua	dmAdoAnnu1.hap1.1	Chromosome	14680084410	14679413410	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356	RBGE	SM51	DTOL	Angiosperm	Ranunculaceae	Adonis	annua	>Pisum	GPB3%PVP	167.71	588.98	3.48	3.1	3.47	602.23	175.01	31.92	31.29	15.65	15.3	2.57	2.96	0.04	0.566	Sahr Mian		""	33.70	""	""	""	""	""	""
Adonis annua	dmAdoAnnu1.hap1.2	Chromosome	14092464277	14091793277	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356	RBGE	SM51	DTOL	Angiosperm	Ranunculaceae	Adonis	annua	>Pisum	GPB3%PVP	167.71	588.98	3.48	3.1	3.47	602.23	175.01	31.92	31.29	15.65	15.3	2.57	2.96	0.04	0.566	Sahr Mian		""	33.70	""	""	""	""	""	""
Adonis annua	dmAdoAnnu1.hap2.1	Scaffold	14120810051	14120148851	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356	RBGE	SM51	DTOL	Angiosperm	Ranunculaceae	Adonis	annua	>Pisum	GPB3%PVP	167.71	588.98	3.48	3.1	3.47	602.23	175.01	31.92	31.29	15.65	15.3	2.57	2.96	0.04	0.566	Sahr Mian		""	33.70	""	""	""	""	""	""
Adonis annua	dmAdoAnnu1.hap2.2	Scaffold	14120810051	14120148851	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356	RBGE	SM51	DTOL	Angiosperm	Ranunculaceae	Adonis	annua	>Pisum	GPB3%PVP	167.71	588.98	3.48	3.1	3.47	602.23	175.01	31.92	31.29	15.65	15.3	2.57	2.96	0.04	0.566	Sahr Mian		""	33.70	""	""	""	""	""	""
Aesculus hippocastanum	drAesHipp1.hap1.1	Chromosome	513587473	513548273	drAesHipp1	2	31	99.1217	99.1442	0.855765	0.878274	567494752	568972813	259285187	259960505	308209565	309012308	81.6401	96.954	0.115972	0.115972	RBGE	DMR2	DTOL	Angiosperm	Sapindaceae	Aesculus	hippocastanum	<Petro	GPB3%PVPBmet	117.33	417.08	3.73	2.02	3.555	118.72	419.78	1.27	1.27	0.64	0.62	3.83	1.94	0.019	0.007	Robyn Powell	2020-04-28	""	1.20	""	""	""	""	""	""
Aesculus hippocastanum	drAesHipp1.hap2.1	Scaffold	506897474	506862074	drAesHipp1	2	31	99.1217	99.1442	0.855765	0.878274	567494752	568972813	259285187	259960505	308209565	309012308	81.6401	96.954	0.115972	0.115972	RBGE	DMR2	DTOL	Angiosperm	Sapindaceae	Aesculus	hippocastanum	<Petro	GPB3%PVPBmet	117.33	417.08	3.73	2.02	3.555	118.72	419.78	1.27	1.27	0.64	0.62	3.83	1.94	0.019	0.007	Robyn Powell	2020-04-28	""	1.20	""	""	""	""	""	""
