species	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Acaena_ovalifolia	drAcaOval1	2	31	75.5354	100	0	24.4646	NA	349702095	120937571	121106026	228521311	228839620	82.7901	90.186	0.146151	0.146151
Acer_campestre	drAceCamp1	2	31	98.3375	98.3915	1.60848	1.66251	NA	645452548	334800881	338149372	307455902	310530903	73.5378	97.0032	0.249134	0.249134
Acer_pseudoplatanus	drAcePsed1	2	31	92.5771	95.5988	4.40122	7.42294	NA	615644222	390336758	393857436	222555853	224563216	65.9811	91.6426	0.447088	0.447088
Achillea_maritima	daAchMari1	2	31	88.0244	98.9382	1.0618	11.9756	NA	891780628	568781899	584550239	310970763	319591806	52.9794	73.2422	0.740029	0.740029
Achillea_millefolium	daAchMill1	6	31	NA	NA	NA	NA	NA	2251018463	1531393142	1548597633	707121225	715065404	76.5695	93.6354	0.105331	0.105331
Achillea_ptarmica	daAchPtar1	2	31	96.6042	97.4691	2.53093	3.39584	NA	104444505	89485754	95616050	11610591	12405984	41.1584	85.8245	2.15127	2.15127
Aconitum_napellus	dmAcoNape1	2	31	96.7605	97.5761	2.4239	3.23954	NA	148622291	123973546	132298727	19972557	21313772	43.9259	87.0497	2.3966	2.3966
Adonis_annua	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	NA	7117584773	3304056222	3309533715	3807638519	3813950856	79.8405	90.8723	0.12356	0.12356
Adoxa_moschatellina	daAdoMosc1	4	31	NA	NA	NA	NA	NA	7037957531	3723401807	3755533202	3284448230	3312791639	75.5839	92.2955	0.0934147	0.0934147
Aegonychon_purpurocaeruleum	daAegPurp1	2	31	99.144	99.2054	0.794597	0.856022	NA	1191486659	795839033	802094807	391001248	394074753	66.0159	95.5184	0.0804124	0.0804124
Aegopodium_podagraria	drAegPoda1	4	31	NA	NA	NA	NA	NA	1442382663	933807769	951455071	495198454	504556822	70.8033	95.7786	0.103608	0.103608
Aesculus_hippocastanum	drAesHipp1	2	31	99.1217	99.1442	0.855765	0.878274	NA	568232822	259285187	259960505	308209565	309012308	81.6401	96.954	0.115972	0.115972
Aethusa_cynapium	drAetCyna1	2	31	99.8475	99.9004	0.0996026	0.152498	NA	1276112281	786623377	789292036	487331586	488984882	70.4523	96.9919	0.109699	0.109699
Agrimonia_eupatoria	drAgrEupa1	4	31	NA	NA	NA	NA	NA	620448317	446071928	447429318	173435245	173963006	82.9528	88.564	0.154467	0.154467
Agrostemma_githago	dcAgrGith1	2	31	92.1612	95.8834	4.11664	7.83876	NA	938568361	633080770	636117268	303247469	304701960	62.196	86.0926	0.129771	0.129771
Ailanthus_altissima	drAilAlti1	2	31	98.6453	98.6555	1.34446	1.35465	NA	1012463836	322713563	323022921	689265457	689926195	73.9276	98.79	0.196766	0.196766
Ajuga_chamaepitys	daAjuCham1	2	31	99.9211	99.9497	0.0502629	0.078852	NA	991357294	462327397	463169618	528128562	529090652	79.8015	97.3172	0.139035	0.139035
Ajuga_reptans	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	NA	1013879047	650336527	653262476	361271949	362897359	71.9908	94.5982	0.159803	0.159803
Alchemilla_alpina	drAlcAlpi1	2	31	98.1614	98.2768	1.72315	1.83863	NA	1618968877	1113105464	1123919737	498074613	502913610	63.5635	76.384	0.0854557	0.0854557
Alchemilla_arvensis	drAlcArve12	2	31	99.8097	99.8298	0.17021	0.190254	NA	371512765	99212601	99371407	272003306	272438692	86.4225	94.5536	0.337703	0.337703
Alchemilla_arvensis	drAlcArve9	2	31	98.2373	98.4834	1.5166	1.7627	NA	4568074	3483968	3622375	996835	1036436	27.1823	92.8206	5.23317	5.23317
Alchemilla_micans	drAlcMica1	3	31	NA	NA	NA	NA	NA	1072657260	525803585	533498499	539117940	547007705	76.4336	95.837	0.10626	0.10626
Alchemilla_mollis	drAlcMoll1	6	31	NA	NA	NA	NA	NA	1139816473	545858576	552735560	586867255	594260886	79.1755	94.6564	0.08124	0.08124
Alliaria_petiolata	ddAllPeti1	2	31	96.3199	96.7106	3.28944	3.68005	NA	446782614	324615349	333242696	116383869	119477020	62.0444	82.063	0.380061	0.380061
Alnus_cordata	dhAlnCord1	2	31	99.2532	99.5278	0.472185	0.746751	NA	491269534	161024924	162249295	328390994	330887951	83.8919	98.6067	0.140336	0.140336
Alnus_glutinosa	dhAlnGlut1	2	31	98.8028	98.8255	1.17451	1.19718	NA	477057445	162563078	162936213	313948121	314668733	72.5104	97.8886	0.190517	0.190517
Alnus_incana	dhAlnInca1	2	31	99.0141	99.0359	0.964055	0.98595	NA	594607967	280570938	281416090	313144163	314087433	84.4605	96.8715	0.104341	0.104341
Ammi_majus	drAmmMaju1	2	31	98.3462	98.3778	1.62216	1.65377	NA	926298818	515956198	517341806	409102156	410200806	80.0924	95.9921	0.085245	0.085245
Amsinckia_menziesii	daAmsMenz1	4	31	NA	NA	NA	NA	NA	250460944	121928666	122161527	128293567	128538584	90.5921	91.9314	0.101334	0.101334
Anagallis_arvensis	ddAnaArve1	2	31	99.5931	99.6302	0.369784	0.406856	NA	1197770717	606825038	609635504	588184772	590908907	79.0565	93.578	0.143723	0.143723
Anagallis_tenella	ddAnaTene1	2	31	84.2469	100	0	15.7531	NA	902983063	572243953	575692205	328034789	330011475	65.7772	87.4342	0.395211	0.395211
Anchusa_arvensis	daAncArve1	2	31	96.3392	97.1774	2.82256	3.66079	NA	195490357	159689383	169006429	30412443	32186851	46.1535	86.2481	4.0126	4.0126
Andromeda_polifolia	ddAndPoli5	2	31	98.9711	99.0096	0.990354	1.02886	NA	463358891	145285480	146216407	316598360	318626987	81.8366	93.7652	0.351271	0.351271
Anemone_nemorosa	dmAneNemo1	2	31	96.387	97.2297	2.77031	3.61302	NA	922082951	761990602	808517121	133561488	141716643	45.7917	86.6318	2.2608	2.2608
Anemone_pulsatilla	dmAnePuls1	2	31	93.9129	95.8579	4.14215	6.08707	NA	5270547913	3983904905	4067709266	1232350177	1258273567	57.0921	90.7902	0.387239	0.387239
Anethum_foeniculum	drAneFoen2	2	31	99.7187	99.7594	0.240561	0.281309	NA	1544089076	959936425	963796138	581060846	583397176	68.729	95.0218	0.0771498	0.0771498
Angelica_archangelica	drAngArch1	2	31	99.2093	99.28	0.719978	0.790688	NA	2975355389	2275971850	2294922201	687099021	692819991	58.2968	96.8398	0.0934584	0.0934584
Angelica_sylvestris	drAngSylv1	2	31	98.6461	98.7525	1.24752	1.35392	NA	2398423459	1771171028	1787468765	616318289	621989448	59.7032	96.7645	0.125156	0.125156
Antennaria_dioica	daAntDioi1	4	31	NA	NA	NA	NA	NA	1558440582	1052329850	1137549027	447735655	483993928	61.7054	88.8907	0.150007	0.150007
Anthriscus_caucalis	drAntCauc1	2	31	97.2369	98.0292	1.9708	2.76311	NA	9444322	7680869	8802009	1161976	1331585	30.096	91.6513	3.35653	3.35653
Anthriscus_sylvestris	drAntSylv1	2	31	98.7079	98.7811	1.21893	1.29208	NA	1845775990	1392611492	1403141563	446238557	449612738	61.0759	96.0121	0.0890621	0.0890621
Anthyllis_vulneraria	drAntVuln1	2	31	99.4088	99.4286	0.57137	0.591245	NA	350973144	174552598	174969249	176002663	176422775	86.2841	97.3349	0.118502	0.118502
Aquilegia_vulgaris	dmAquVulg1	2	31	99.6042	99.6365	0.363537	0.395844	NA	322203450	145341318	145854251	176295578	176917752	78.4961	92.7324	0.113367	0.113367
Arabidopsis_thaliana	ddAraThal4	2	31	0	100	0	100	NA	78371669	24673725	24690038	53672053	53707539	73.2076	93.6048	0.414551	0.414551
Arabis_alpina	ddAraAlpi1	2	31	99.8511	99.8916	0.108399	0.148909	NA	371073418	168488526	169102469	201911283	202647013	77.1183	95.5401	0.617648	0.617648
Arabis_alpina	ddAraAlpi2	2	31	99.7003	99.7558	0.244177	0.299669	NA	727848420	247300022	248476193	478825749	481103068	80.116	98.067	0.208612	0.208612
Arabis_hirsuta	ddAraHirs1	2	31	90.7271	95.5212	4.47881	9.27289	NA	318436225	151630644	151924585	166497528	166820290	79.8215	92.8419	0.132859	0.132859
Arabis_scabra	ddAraScab1	2	31	0	100	0	100	NA	209966687	100815255	101944260	107988769	109198109	82.1683	88.4762	0.845828	0.845828
Arbutus_unedo	ddArbUned1	2	31	99.1271	99.1666	0.833351	0.87291	NA	515481101	161086103	162200154	352624740	355063448	83.1358	98.8678	0.0986298	0.0986298
Arctium_minus	daArcMinu1	2	31	84.6399	100	0	15.3601	NA	1125772609	712848851	717305925	409426190	411986119	56.3573	80.9657	0.652733	0.652733
Arctostaphylos_uva_ursi	ddArcUvan1	5	31	NA	NA	NA	NA	NA	562781956	217016049	221311585	340304263	347040121	80.4782	82.885	0.126549	0.126549
Arctous_alpina	ddArcAlpn1	2	31	98.9706	99.0022	0.997847	1.02941	NA	602912200	271583467	272417925	330405327	331420519	82.3892	90.6522	0.142712	0.142712
Arenaria_serpyllifolia	dcAreSerp1	2	31	95.0859	95.2686	4.73138	4.91413	NA	372435111	155879347	156147257	216236260	216607907	85.7444	89.7145	0.178725	0.178725
Aria_edulis	drAriEdul1	2	31	98.9737	99.0446	0.955363	1.02635	NA	632391943	285339872	287255951	344942954	347259272	76.6216	97.1503	0.377685	0.377685
Aria_richii	drAriRich1	4	31	NA	NA	NA	NA	NA	559716978	226381451	228785765	330394490	333903487	83.7023	92.5911	0.176212	0.176212
Aristolochia_clematitis	dmAriClem1	2	31	99.2676	99.2935	0.706462	0.73244	NA	321054541	172417512	172817589	148265404	148609439	83.9537	96.2801	0.105468	0.105468
Armeria_maritima	dcArmMari2	2	31	89.4178	98.1869	1.81312	10.5822	NA	1893054312	1365545853	1388210705	512054827	520553734	53.3998	84.5574	0.327799	0.327799
Armoracia_rusticana	ddArmRust1	2	31	99.2516	99.2744	0.725643	0.748373	NA	667543241	350485291	351227427	316352697	317022560	80.7967	96.6584	0.186805	0.186805
Artemisia_campestris	daArtCamp1	4	31	NA	NA	NA	NA	NA	2494413426	1699009180	2313174645	464261375	632084661	54.9352	79.5334	0.125842	0.125842
Artemisia_maritima	daArtMari1	6	31	NA	NA	NA	NA	NA	2536637420	1911882003	1928166946	614043431	619273703	75.7585	92.4183	0.0930055	0.0930055
Artemisia_vulgaris	daArtVulg1	4	31	NA	NA	NA	NA	NA	1538882147	1164687208	1180233408	364059754	368919209	64.3164	88.2604	0.119603	0.119603
Astragalus_alpinus	drAstAlpi1	2	31	99.197	99.312	0.687997	0.802965	NA	749506819	454098100	457104435	292944000	294883421	67.7664	97.1005	0.166817	0.166817
Astragalus_danicus	drAstDani2	2	31	99.0613	99.1065	0.893466	0.938746	NA	1225932575	780105546	783725592	442995724	445051427	67.3939	95.1554	0.0947682	0.0947682
Astragalus_glycyphyllos	drAstGlyc1	2	31	99.9014	99.9347	0.0653092	0.0986316	NA	718562896	348215018	349359475	369170918	370384249	74.8785	98.0404	0.132891	0.132891
Atriplex_laciniata	dcAtrLaci1	2	31	99.8205	100	0	0.17954	NA	777202628	432684974	435862147	341684983	344193951	75.0946	98.8396	0.127624	0.127624
Atriplex_littoralis	dcAtrLitt1	2	31	99.5416	99.5743	0.425675	0.458383	NA	736979077	423037940	424263112	312877025	313783158	76.6421	96.9434	0.12431	0.12431
Atriplex_praecox	dcAtrPrae1	2	31	73.6445	100	0	26.3555	NA	425536158	246576650	246909093	178673033	178913926	83.3542	85.7166	0.148708	0.148708
Atriplex_praecox	dcAtrPrae7	2	31	99.8361	99.8866	0.113437	0.163885	NA	884432948	509503875	512176577	372621445	374576104	71.2938	90.5434	0.125328	0.125328
Atropa_belladonna	daAtrBela1	2	31	99.8356	100	0	0.164371	NA	1795781358	576926389	578903762	1215788026	1219955050	88.6051	98.5254	0.125085	0.125085
Ballota_nigra	daBalNigr1	2	31	99.676	100	0	0.324013	NA	1302749201	810010689	819043879	485554538	490969412	46.2453	93.4783	0.230303	0.230303
Barbarea_vulgaris	ddBarVulg1	2	31	99.9395	99.9646	0.0353904	0.0604807	NA	305711402	162787867	163095533	142635185	142904763	80.9137	95.9877	0.10825	0.10825
Barbarea_vulgaris	ddBarVulg2	2	31	99.9515	99.9722	0.0278381	0.0484616	NA	255228125	112149596	112363254	142835872	143107991	86.0497	94.6339	0.0995149	0.0995149
Bellardia_viscosa	daBelVisc1	2	31	91.8783	95.1439	4.85609	8.1217	NA	627902574	382179369	382711693	245286522	245628173	81.7247	91.3426	0.169387	0.169387
Bellis_perennis	daBelPere1	2	31	97.5733	97.6714	2.32863	2.42665	NA	1694132407	1246335534	1261611930	437540060	442903009	37.9656	94.8348	0.158256	0.158256
Berberis_aquifolium	dmBerAqui1	2	31	99.1072	99.1277	0.872284	0.892781	NA	1051268474	408490858	409413509	641593051	643042206	84.0149	98.1538	0.0985414	0.0985414
Berberis_vulgaris	dmBerVulg1	2	31	99.5192	99.5728	0.42721	0.480778	NA	1381982045	669694233	672523444	709380910	712377783	74.5709	97.5044	0.167863	0.167863
Berula_erecta	drBerErec1	2	31	0	100	0	100	NA	210142545	89302021	89609492	120480000	120894818	86.7793	87.7407	0.360373	0.360373
Beta_vulgaris	dcBetVulg1	4	31	NA	NA	NA	NA	NA	665390260	298735060	300522897	364675967	366858440	81.874	92.6736	0.108345	0.108345
Betonica_officinalis	daBetOffi1	4	31	NA	NA	NA	NA	NA	2176813055	1572947859	1597204790	587335442	596392929	62.0214	87.4179	0.170364	0.170364
Betula_pendula	dhBetPend1	2	31	98.5134	98.5315	1.46851	1.48665	NA	425660849	146425659	146806758	278682698	279408021	85.7293	98.5581	0.153952	0.153952
Betula_pubescens	dhBetPube1	4	31	NA	NA	NA	NA	NA	374604485	121409967	122064868	252189606	253549949	86.106	94.3318	0.217164	0.217164
Bidens_cernua	daBidCern1	2	31	95.4352	96.8128	3.18722	4.56483	NA	429511703	357695127	378057473	60249729	63679537	40.9659	82.5352	1.24446	1.24446
