species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Acaena ovalifolia	drAcaOval1.hap1.1	Chromosome	687115516	687061316	drAcaOval1	2	31	75.5354	100	0	24.4646	349458882	349945645	120937574	121106028	228521309	228839617	82.7901	90.186	0.146151	0.146151
Acaena ovalifolia	drAcaOval1.hap2.1	Chromosome	687192732	687133732	drAcaOval1	2	31	75.5354	100	0	24.4646	349458882	349945645	120937574	121106028	228521309	228839617	82.7901	90.186	0.146151	0.146151
Acer campestre	drAceCamp1.1 alternate haplotype	Scaffold	734708497	734696055	drAceCamp1	2	31	98.3375	98.3915	1.60848	1.66251	642256783	648680275	334800881	338149371	307455902	310530903	73.5378	97.0032	0.249134	0.249134
Acer campestre	drAceCamp1.1	Chromosome	565085850	564866015	drAceCamp1	2	31	98.3375	98.3915	1.60848	1.66251	642256783	648680275	334800881	338149371	307455902	310530903	73.5378	97.0032	0.249134	0.249134
Adonis annua	dmAdoAnnu1.hap1.1	Chromosome	14680084410	14679413410	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356
Adonis annua	dmAdoAnnu1.hap1.2	Chromosome	14092464277	14091793277	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356
Adonis annua	dmAdoAnnu1.hap2.1	Scaffold	14120810051	14120148851	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356
Adonis annua	dmAdoAnnu1.hap2.2	Scaffold	14120810051	14120148851	dmAdoAnnu1	2	31	73.9256	100	0	26.0744	7111694745	7123484576	3304056212	3309533706	3807638532	3813950870	79.8405	90.8723	0.12356	0.12356
Aesculus hippocastanum	drAesHipp1.hap1.1	Chromosome	513587473	513548273	drAesHipp1	2	31	99.1217	99.1442	0.855765	0.878274	567494752	568972813	259285187	259960505	308209565	309012308	81.6401	96.954	0.115972	0.115972
Aesculus hippocastanum	drAesHipp1.hap2.1	Scaffold	506897474	506862074	drAesHipp1	2	31	99.1217	99.1442	0.855765	0.878274	567494752	568972813	259285187	259960505	308209565	309012308	81.6401	96.954	0.115972	0.115972
Agrostemma githago	dcAgrGith1.1 alternate haplotype	Contig	25466553	25466553	dcAgrGith1	2	31	92.1612	95.8834	4.11664	7.83876	936328242	940819231	633080770	636117268	303247471	304701962	62.196	86.0926	0.129771	0.129771
Agrostemma githago	dcAgrGith1.1	Chromosome	1735037658	1734959258	dcAgrGith1	2	31	92.1612	95.8834	4.11664	7.83876	936328242	940819231	633080770	636117268	303247471	304701962	62.196	86.0926	0.129771	0.129771
Ailanthus altissima	drAilAlti1.1 alternate haplotype	Contig	937153372	937153372	drAilAlti1	2	31	98.6436	98.6573	1.34273	1.35639	1011814730	1013114466	322661409	323075886	689153321	690038579	89.0742	98.79	0.196765	0.196765
Ailanthus altissima	drAilAlti1.1	Chromosome	938396475	938393475	drAilAlti1	2	31	98.6436	98.6573	1.34273	1.35639	1011814730	1013114466	322661409	323075886	689153321	690038579	89.0742	98.79	0.196765	0.196765
Ajuga chamaepitys	daAjuCham1.1 alternate haplotype	Contig	39014124	39014124	daAjuCham1	2	31	99.9211	99.9497	0.0502629	0.078852	990455959	992260270	462327396	463169617	528128563	529090654	79.8015	97.3172	0.139035	0.139035
