dicots 	 Acaena_ovalifolia 	 genomic_data 	 drAcaOval1 	 hic-arima2
dicots 	 Acaena_ovalifolia 	 genomic_data 	 drAcaOval1 	 pacbio
dicots 	 Acer_campestre 	 genomic_data 	 drAceCamp1 	 hic-arima2
dicots 	 Acer_campestre 	 genomic_data 	 drAceCamp1 	 pacbio
dicots 	 Acer_pseudoplatanus 	 genomic_data 	 drAcePsed1 	 hic-arima2
dicots 	 Acer_pseudoplatanus 	 genomic_data 	 drAcePsed1 	 pacbio
dicots 	 Achillea_maritima 	 genomic_data 	 daAchMari1 	 hic-arima2
dicots 	 Achillea_millefolium 	 genomic_data 	 daAchMill1 	 hic-arima2
dicots 	 Achillea_millefolium 	 genomic_data 	 daAchMill1 	 pacbio
dicots 	 Achillea_ptarmica 	 genomic_data 	 daAchPtar1 	 hic-arima2
dicots 	 Achillea_ptarmica 	 genomic_data 	 daAchPtar1 	 pacbio
dicots 	 Aconitum_napellus 	 genomic_data 	 dmAcoNape1 	 hic-arima2
dicots 	 Adonis_annua 	 genomic_data 	 dmAdoAnnu1 	 hic-arima2
dicots 	 Adonis_annua 	 genomic_data 	 dmAdoAnnu1 	 pacbio
dicots 	 Adoxa_moschatellina 	 genomic_data 	 daAdoMosc1 	 10x
dicots 	 Adoxa_moschatellina 	 genomic_data 	 daAdoMosc1 	 hic-arima2
dicots 	 Adoxa_moschatellina 	 genomic_data 	 daAdoMosc1 	 pacbio
dicots 	 Aegonychon_purpurocaeruleum 	 genomic_data 	 daAegPurp1 	 hic-arima2
dicots 	 Aegopodium_podagraria 	 genomic_data 	 drAegPoda1 	 hic-arima2
dicots 	 Aesculus_hippocastanum 	 genomic_data 	 drAesHipp1 	 hic-arima2
dicots 	 Aethusa_cynapium 	 genomic_data 	 drAetCyna1 	 hic-arima2
dicots 	 Agrimonia_eupatoria 	 genomic_data 	 drAgrEupa1 	 hic-arima2
dicots 	 Agrimonia_eupatoria 	 genomic_data 	 drAgrEupa1 	 pacbio
dicots 	 Agrostemma_githago 	 genomic_data 	 dcAgrGith1 	 hic-arima2
dicots 	 Agrostemma_githago 	 genomic_data 	 dcAgrGith1 	 pacbio
dicots 	 Ailanthus_altissima 	 genomic_data 	 drAilAlti1 	 10x
dicots 	 Ailanthus_altissima 	 genomic_data 	 drAilAlti1 	 hic-arima2
dicots 	 Ailanthus_altissima 	 genomic_data 	 drAilAlti1 	 pacbio
dicots 	 Ajuga_chamaepitys 	 genomic_data 	 daAjuCham1 	 hic-arima2
dicots 	 Ajuga_chamaepitys 	 genomic_data 	 daAjuCham1 	 pacbio
dicots 	 Ajuga_reptans 	 genomic_data 	 daAjuRept1 	 hic-arima2
dicots 	 Ajuga_reptans 	 genomic_data 	 daAjuRept1 	 pacbio
dicots 	 Alchemilla_alpina 	 genomic_data 	 drAlcAlpi1 	 hic-arima2
dicots 	 Alchemilla_alpina 	 genomic_data 	 drAlcAlpi1 	 pacbio
dicots 	 Alchemilla_arvensis 	 genomic_data 	 drAlcArve10 	 hic-arima2
dicots 	 Alchemilla_arvensis 	 genomic_data 	 drAlcArve12 	 pacbio
dicots 	 Alchemilla_arvensis 	 genomic_data 	 drAlcArve9 	 pacbio
dicots 	 Alchemilla_micans 	 genomic_data 	 drAlcMica1 	 hic-arima2
dicots 	 Alchemilla_micans 	 genomic_data 	 drAlcMica1 	 pacbio
dicots 	 Alnus_cordata 	 genomic_data 	 dhAlnCord1 	 hic-arima2
dicots 	 Alnus_cordata 	 genomic_data 	 dhAlnCord1 	 pacbio
dicots 	 Alnus_glutinosa 	 genomic_data 	 dhAlnGlut1 	 10x
dicots 	 Alnus_glutinosa 	 genomic_data 	 dhAlnGlut1 	 hic-arima2
dicots 	 Alnus_glutinosa 	 genomic_data 	 dhAlnGlut1 	 pacbio
dicots 	 Alnus_incana 	 genomic_data 	 dhAlnInca1 	 hic-arima2
dicots 	 Alnus_incana 	 genomic_data 	 dhAlnInca1 	 pacbio
dicots 	 Ammi_majus 	 genomic_data 	 drAmmMaju1 	 hic-arima2
dicots 	 Ammi_majus 	 genomic_data 	 drAmmMaju1 	 pacbio
dicots 	 Amsinckia_menziesii 	 genomic_data 	 daAmsMenz1 	 hic-arima2
dicots 	 Amsinckia_menziesii 	 genomic_data 	 daAmsMenz1 	 pacbio
dicots 	 Anagallis_arvensis 	 genomic_data 	 ddAnaArve1 	 hic-arima2
dicots 	 Anagallis_arvensis 	 genomic_data 	 ddAnaArve1 	 pacbio
dicots 	 Anagallis_tenella 	 genomic_data 	 ddAnaTene1 	 hic-arima2
dicots 	 Anchusa_arvensis 	 genomic_data 	 daAncArve1 	 hic-arima2
dicots 	 Andromeda_polifolia 	 genomic_data 	 ddAndPoli2 	 hic-arima2
dicots 	 Andromeda_polifolia 	 genomic_data 	 ddAndPoli5 	 hic-arima2
dicots 	 Andromeda_polifolia 	 genomic_data 	 ddAndPoli5 	 pacbio
dicots 	 Anemone_nemorosa 	 genomic_data 	 dmAneNemo1 	 hic-arima2
dicots 	 Anemone_nemorosa 	 genomic_data 	 dmAneNemo1 	 pacbio
dicots 	 Anemone_pulsatilla 	 genomic_data 	 dmAnePuls1 	 10x
dicots 	 Anemone_pulsatilla 	 genomic_data 	 dmAnePuls1 	 hic-arima2
dicots 	 Anemone_pulsatilla 	 genomic_data 	 dmAnePuls1 	 pacbio
dicots 	 Anethum_foeniculum 	 genomic_data 	 drAneFoen2 	 hic-arima2
dicots 	 Anethum_foeniculum 	 genomic_data 	 drAneFoen2 	 pacbio
dicots 	 Angelica_archangelica 	 genomic_data 	 drAngArch1 	 hic-arima2
dicots 	 Angelica_archangelica 	 genomic_data 	 drAngArch1 	 pacbio
dicots 	 Angelica_sylvestris 	 genomic_data 	 drAngSylv1 	 hic-arima2
dicots 	 Angelica_sylvestris 	 genomic_data 	 drAngSylv1 	 pacbio
dicots 	 Antennaria_dioica 	 genomic_data 	 daAntDioi1 	 hic-arima2
dicots 	 Antennaria_dioica 	 genomic_data 	 daAntDioi1 	 pacbio
dicots 	 Anthriscus_caucalis 	 genomic_data 	 drAntCauc1 	 hic-arima2
dicots 	 Anthriscus_caucalis 	 genomic_data 	 drAntCauc1 	 pacbio
